Atualizado em: 2026-04-06
"ICAO";"Estrangeira";"Razao";"Servico";"Endereco";"Cidade";"UF";"CEP";"Telefone";"Email";"Instrumento";"Data";"Ativa"
"";"..";"SAPA - SERVIÇOS AÉREOS DE PROTEÇÃO AGRÍCOLA LTDA.";"AEROAGRÍCOLA";"RODOVIA RS 630, KM. 4, 1º SUBDISTRITO, CAIXA POSTAL 86,";"DOM PEDRITO";"RS";"96.450-000";"TEL: (21) 2669-0040   FAX: (21) 2669-6964";"erongso@gmail.com; contato@ejraero.com.br";"PORTARIA Nº 9446, DE 06 DE OUTUBRO DE 2022";"10/10/2022 12:00:00 AM";"ATIVA"
"";"..";"TAIM AERO AGRÍCOLA LTDA.";"AEROAGRÍCOLA";"RUA ANDRADE NEVES, 2142, SALA 603, CENTRO";"PELOTAS";"RS";"96.020-080";"(53) 3303 1807 ";"alan@taimaeroagricola.com.br    ";"PORTARIA Nº 9.801, DE 21 DE NOVEMBRO DE 2022";"11/23/2022 12:00:00 AM";"ATIVA"
"";"..";"KNA AVIAÇÃO AGRÍCOLA LTDA.";"AEROAGRÍCOLA, SERVIÇOS AÉREOS ESPECIALIZADOS - OUTROS";"RODOVIA LUCIANO FURIAN, 325, BAIRRO JUNG";"CRUZ ALTA";"RS";"98.051-015";"(55) 37811819 / (55) 999474053";"nativawpk@yahoo.com.br ";"PORTARIA Nº 9508, DE 13 DE OUTUBRO DE 2022";"10/18/2022 12:00:00 AM";"ATIVA"
"";"..";"AEROCLUBE DE MARÍLIA";"SERVIÇOS AÉREOS ESPECIALIZADOS - OUTROS";"  AV. BRIGADEIRO EDUARDO GOMES, S/Nº - AEROPORTO ESTADUAL DE MARÍLIA - FRANK MILOYE MILENKOVICH";"MARÍLIA";"SP";"17.515-430";"(14) 3433-3586";"aeroclubedemarilia@yahoo.com.br; braucilio@gmail.com      ";"Decisão n° 402";"8/25/2021 12:00:00 AM";"ATIVA"
"";"..";"MILL TÁXI AÉREO LTDA.";"AEROCINEMATOGRAFIA, AEROFOTOGRAFIA, AEROINSPEÇÃO, AEROREPORTAGEM, TÁXI-AÉREO";"RUA PENSADOR, º 115, BAIRRO ADRIANÓPOLIS";"MANAUS";"AM";"69.057-810";"(92) 3233-1000 / (92) 3090-6175";" contato@milltaxiaereo.com";"PORTARIA Nº 8393, DE 22 DE JUNHO DE 2022";"6/22/2022 12:00:00 AM";"ATIVA"
"";"..";"COSTA DO SOL TÁXI AÉREO S/A";"AEROCINEMATOGRAFIA, AEROFOTOGRAFIA, AEROINSPEÇÃO, AEROMÉDICO, AEROPUBLICIDADE, AEROREPORTAGEM, TÁXI-AÉREO";"AVENIDA AYRTON SENNA, 3000, BLOCO GRUMARI, SALAS 4023 E 4024, BARRA DA TIJUCA";"RIO DE JANEIRO";"RJ";"22.775-904";"N/I";"N/I";"PORTARIA Nº 8225, DE 02 DE JUNHO DE 2022";"6/2/2022 12:00:00 AM";"ATIVA"
"";"..";"AERO RIO TÁXI AÉREO LTDA.";"TÁXI-AÉREO";"AVENIDA VINTE DE JANEIRO, S/Nº, SETOR NORTE, PARALELO AO SISTEMA 10-28 DO AEROPORTO INTERNACIONAL DO RIO DE JANEIRO/GALEÃO - ANTÔNIO CARLOS JOBIM, LOTE H-5";"RIO DE JANEIRO";"RJ";"21.942-900";"(21) 3325-0510 (21)  9986-7921";"N/I";"PORTARIA Nº 9.161, DE 13 DE SETEMBRO DE 2022";"9/16/2022 12:00:00 AM";"ATIVA"
"";"..";"AEROPEL - AERO OPERAÇÕES AGRÍCOLAS LTDA.";"AEROAGRÍCOLA";"RUA ENG. MANOEL LUIZ FAGUNDES, Nº 2078 - SALA 103 - CENTRO";"SÃO BORJA";"RS";"97.670-000";"N/I";"N/I";"PORTARIA Nº 7978, DE 09 DE MAIO DE 2022";"5/9/2022 12:00:00 AM";"ATIVA"
"";"..";"BRABO TÁXI AÉREO LTDA.";"TÁXI-AÉREO";"AV. SENADOR LEMOS, 4700 - AEROPORTO JULIO CESAR BOX 2 - SACRAMENTA";"BELÉM";"PA";"66.120-000";"(91) 233-4884";"N/I";"PORTARIA Nº 7822";"4/18/2022 12:00:00 AM";"ATIVA"
"";"..";"RANCHARIA AVIAÇÃO AGRÍCOLA LTDA.";"AEROAGRÍCOLA";"ESTRADA CONFUSÃO - RURAL BR SALTINHO, KM 3,5, S/N, GLEBA A1, SALTINHO";"RANCHARIA";"SP";"19.600-000";"(18) 3265-68831";"N/I";"PORTARIA Nº 7823";"4/18/2022 12:00:00 AM";"ATIVA"
"";"..";"CHC DO BRASIL TÁXI AÉREO S/A. (EX- BHS HELICOPTER SERVICE)";"AEROMÉDICO, TÁXI-AÉREO";" AVENIDA EMBAIXADOR ABELARDO BUENO, 199, SALA 202 - BARRA DA TIJUCA";"RIO DE JANEIRO";"RJ";"22.775-040";"TEL: (21)  2189-0050 FAX: (21)  2189-0051";"N/I";"PORTARIA Nº 7976, DE 09 DE MAIO DE 2022";"5/9/2022 12:00:00 AM";"ATIVA"
"";"..";"ECO PHOCUS - SERVIÇO AÉREO ESPECIALIZADO LTDA.";"AEROFOTOGRAFIA, AEROINSPEÇÃO";"RODOVIA RSC 101, NO 6245 BAIRRO DISTRITO DE PASSINHOS";"OSÓRIO";"RS";"95.520-000";".";"N/I";"PORTARIA Nº 9.804, DE 21 DE NOVEMBRO DE 2022";"11/23/2022 12:00:00 AM";"ATIVA"
"";"..";"VEM AVIATION TÁXI AÉREO LTDA.";"TÁXI-AÉREO";"PRAÇA GAGO COUTINHO, S/N, RUA B LOTE 3 AEROPORTO INTERNACIONAL DE SALVADOR, SÃO CRISTÓVÃO";"SALVADOR";"BA";"41.510-045";"N/I";"N/I";"PORTARIA Nº 7.883";"4/27/2022 12:00:00 AM";"ATIVA"
"";"..";"PEMA - PEREIRA MARCELO TÁXI AÉREO LTDA.";"AEROMÉDICO, TÁXI-AÉREO";"RODOVIA PA-279, KM 152 - SETOR AEROPORTO";"OURILÂNDIA DO NORTE";"PA";"68.390-000";"(94) 3434-1233/1333";"N/I";"PORTARIA Nº 7.977, DE 9 DE MAIO DE 2022";"5/20/2022 12:00:00 AM";"ATIVA"
"";"..";"TAM AVIAÇÃO EXECUTIVA E TÁXI AÉREO S.A.";"TÁXI-AÉREO";"RUA MONSENHOR ANTÔNIO PEPE, Nº 94, 2º ANDAR, PARQUE JABAQUARA";"SÃO PAULO";"SP";"04.357-900";"TEL: (11) 5582-8711  /  FAX: (11) 5582-8756";"N/I";"PORTARIA Nº 9.822, DE 22 DE NOVEMBRO DE 2022";"11/23/2022 12:00:00 AM";"ATIVA"
"";"..";"VILLELA AGRO AÉREA LTDA.";"AEROAGRÍCOLA";"AEROPORTO MUNICIPAL DE BEBEDOURO - LUIZ MARTINS DE ARAÚJO - L - 10 - CAIXA POSTAL 30, ZONA RURAL";"BEBEDOURO";"SP";"00.000-000";"(17) 3322-5174";"N/I";"PORTARIA Nº 10.050, DE 15 DE DEZEMBRO DE 2022";"12/26/2022 12:00:00 AM";"ATIVA"
"";"..";"COMBATE AVIAÇÃO AGRÍCOLA LTDA.";"AEROAGRÍCOLA";"ROD GO 320 - PROXIMO AO TREVO PARA JOVIANIA - ANGAR";"VICENTINÓPOLIS";"GO";"75.555-000";"TEL/FAX: (64) 3691-1858";"N/I";"PORTARIA Nº 9.815, DE 22 DE NOVEMBRO DE 2022";"11/23/2022 12:00:00 AM";"ATIVA"
"";"..";"MARICÁ TÁXI AÉREO LTDA.";"AEROCINEMATOGRAFIA, AERODEMONSTRAÇÃO, AEROFOTOGRAFIA, AEROINSPEÇÃO, AEROMÉDICO, AEROPUBLICIDADE, AEROREPORTAGEM, COMBATE A INCÊNDIOS, TÁXI-AÉREO";"AV. AYRTON SENNA 2541 - AEROP. DE JACARAPAGUA HANGAR 02 - BARRA DA TIJUCA";"RIO DE JANEIRO";"RJ";"22.775-002";"TEL: (21) 3325-5683 FAX: (21) 3325-3083";"N/I";"PORTARIA Nº 7.458";"3/8/2022 12:00:00 AM";"ATIVA"
"";"..";"GARRA AVIAÇÃO AGRÍCOLA LTDA.";"AEROAGRÍCOLA";"RUA DOS HANGARES Nº 501 - DISTRITO INDUSTRAL";"PRIMAVERA DO LESTE";"MT";"78.850-000";"(66) 3498-5145";"N/I";"PORTARIA Nº 8.080, DE 18 DE MAIO DE 2022";"5/20/2022 12:00:00 AM";"ATIVA"
"";"..";"SANTAFÉ TÁXI AÉREO LTDA.";"AEROMÉDICO, TÁXI-AÉREO";"RUA ANTÔNIO VACARO, 600, BAIRRO JOÃO WINCKLER - AEROPORTO MUNICIPAL DE XANXERÊ";"XANXERÊ";"SC";"89.820-000";"TEL: (49) 3433-1428 FAX: (49) 3433-3431";"N/I";"PORTARIA Nº 9.851, DE 23 DE NOVEMBRO DE 2022";"11/29/2022 12:00:00 AM";"ATIVA"
"";"..";"AERO AGRÍCOLA GIRUAENSE LTDA.";"AEROAGRÍCOLA";"AEROPORTO BRIGADEIRO ARARIPE DE MACEDO, S/Nº, CAIXA POSTAL Nº 148";"LUZIÂNIA";"GO";"72.800-970";"TEL/FAX: (61) 3622-3211";"N/I";"PORTARIA Nº 9.347, DE 28 DE SETEMBRO DE 2022";"10/5/2022 12:00:00 AM";"ATIVA"
"";"..";"HCR TÁXI AÉREO LTDA.";"AEROINSPEÇÃO, AEROREPORTAGEM, TÁXI-AÉREO";"RUA SYLVIA DA SILVA BRAGA, 415 HANGAR A-1 1º ANDAR - CAMPO DOS AMARAIS";"CAMPINAS";"SP";"13.082-470";"(19) 3246-1100";"N/I";"PORTARIA Nº 10.263, DE 13 DE JANEIRO DE 2023";"1/17/2023 12:00:00 AM";"ATIVA"
"";"..";"EMAR TÁXI AÉREO LTDA.";"AEROCINEMATOGRAFIA, AEROFOTOGRAFIA, AEROINSPEÇÃO, AEROMÉDICO, AEROREPORTAGEM, TÁXI-AÉREO";"AV. RUI BARBOSA, Nº 698, SALA 709, CENTRO";"MACAÉ";"RJ";"27.910-360";"TEL: (22) 2772-2715 FAX: (22) 2772-5181";"N/I";"PORTARIA Nº 7848, DE 25 DE ABRIL DE 2022";"4/25/2022 12:00:00 AM";"ATIVA"
"";"..";"DIMENSÃO AVIAÇÃO AGRÍCOLA EIRELI.";"AEROAGRÍCOLA, SERVIÇOS AÉREOS ESPECIALIZADOS - OUTROS";"RODOVIA BR 267 - KM 366, ZONA RURAL, CAIXA POSTAL Nº 96";"ÁGUA CLARA";"MS";"79.150-000";"(67) 3454-6308";"N/I";"Portaria nº 13250, de 29/11/2023";"12/5/2023 12:00:00 AM";"ATIVA"
"";"..";"BERBEL AVIAÇÃO AGRÍCOLA LTDA.";"AEROAGRÍCOLA";"SÍTIO TARUMÃ, S/Nº - BAIRRO TARUMÃ";"SÃO PEDRO DO TURVO";"SP";"18.940-000";"N/I";"N/I";"PORTARIA Nº 7.896, DE 28 DE ABRIL DE 2022";"4/28/2022 12:00:00 AM";"ATIVA"
"";"..";"AERO AGRÍCOLA CAIÇARA LTDA.";"AEROAGRÍCOLA";"RUA DONA AMÉLIA LEUCHTENBERG Nº 19, SALA 1, PONTA DA PRAIA";"SANTOS";"SP";"11.030-020";"N/I";"N/I";"PORTARIA Nº 9.786, DE 21 DE NOVEMBRO DE 2022";"11/23/2022 12:00:00 AM";"ATIVA"
"";"..";"PACHU AVIAÇÃO AGRÍCOLA LTDA.";"AEROAGRÍCOLA";"RUA PREF. DORISMUNDO A. CAMARGO, 74, JARDIM LEONOR,";"OLÍMPIA";"SP";"15.400-000";"N/I";"N/I";"PORTARIA Nº 7.637";"3/24/2022 12:00:00 AM";"ATIVA"
"";"..";"LIFE AIRTAXI - SERV. DE TRANSP. AÉREO DE PESSOAS OU CARGAS LTDA.";"TÁXI-AÉREO";"RUA AFONSO BRAZ, Nº 579 - 8º ANDAR, CONJUNTO 86 - VILA NOVA CONCEIÇÃO";"SÃO PAULO";"SP";"04.511-011";"N/I";"N/I";"Portaria 13358, de 13/12/2023";"12/21/2023 12:00:00 AM";"ATIVA"
"";"..";"JATAÍ AERO AGRÍCOLA LTDA.";"AEROAGRÍCOLA";"BR 158, KM 7, AEROPORTO MUNICIPAL DE JATAÍ, HANGAR Nº 12";"JATAÍ";"GO";"75.800-000";"N/I";"N/I";"PORTARIA Nº 11.891, DE 12 DE JULHO DE 2023";"7/14/2023 12:00:00 AM";"ATIVA"
"";"..";"CENTROAR AGRO-AÉREO LTDA.";"AEROAGRÍCOLA, COMBATE A INCÊNDIOS";"RODOVIA GO-070, QD. 0 - LT. 118 - S/Nº - KM 03 - VIA INHUMAS";"GOIÂNIA";"GO";"74.460-970";"N/I";"N/I";"PORTARIA Nº 10.057, DE 15 DE DEZEMBRO DE 2022";"12/26/2022 12:00:00 AM";"ATIVA"
"";"";"SARACURA AVIAÇÃO AGRÍCOLA LTDA.";"AEROAGRÍCOLA";"V DPI 11, S/ Nº";"MORRINHOS";"GO";"75.650-000";"(64) 99340-5661";"fast.ag@outlook.com";"Portaria nº 17260";"6/23/2025 12:00:00 AM";"ATIVA"
"";"..";"JATO AEROTÁXI LTDA.";"TÁXI-AÉREO";"AEROPORTO PILOTO OSWALDO MARQUES DIAS ";"ALTA FLORESTA";"MT";"78.580-000";"(66) 3521-3255";"N/I";"PORTARIA Nº 9.793, DE 21 DE NOVEMBRO DE 2022";"11/23/2022 12:00:00 AM";"ATIVA"
"";"..";"TR AVIAÇÃO AGRÍCOLA LTDA. (EX - FENNER AVIAÇÃO AGRÍCOLA LTDA.)";"AEROAGRÍCOLA";"AEROPORTO MUNICIPAL DE NOVA PONTE - HANGAR I - ESTRADA AEROPORTO/RIO CLARO, BAIRRO INDUSTRIAL";"NOVA PONTE";"MG";"38.160-000";"(34) 3356-0101";"N/I";"PORTARIA Nº 13.224, DE 24 DE NOVEMBRO DE 2023";"11/24/2023 12:00:00 AM";"ATIVA"
"";"";"CHOSEN TÁXI AÉREO LTDA. (EX - ULTRA PILOTS. (EX- PROPAGAER PUBLICIDADES LTDA)";"TÁXI-AÉREO";"AV. AYRTON SENNA, Nº 2541 - RUA "A" - PREDIO 72/PARTE - BARRA DA TIJUCA";"RIO DE JANEIRO";"RJ";"22.775-002";"(21) 2421-5079 / ( 21) 995551116";"dir.ops@voeultrapilots.com.br ";"Portaria nº 15949, DE 09 de dezembro de 2024";"12/11/2024 12:00:00 AM";"ATIVA"
"";"..";"LÍDER TÁXI AÉREO S.A. - AIR BRASIL";"AEROINSPEÇÃO, AEROMÉDICO, TÁXI-AÉREO";" AV. SANTA ROSA, 123 - SÃO LUIZ";"BELO HORIZONTE";"MG";"31.270-750";"TEL: (31) 3490-4500 FAX: (31) 3490-4600";"N/I";"PORTARIA Nº 9.182, DE 15 DE SETEMBRO DE 2022";"9/21/2022 12:00:00 AM";"ATIVA"
"";"..";"SERRANA AVIAÇÃO AGRÍCOLA LTDA.";"AEROAGRÍCOLA";"AEROPORTO MUNICIPAL - ZONA RURAL";"SÃO GABRIEL DO OESTE";"MS";"79.490-000";"(67) 3295-2442";"N/I";"PORTARIA Nº 7982, DE 09 DE MAIO DE 2022";"5/9/2022 12:00:00 AM";"ATIVA"
"";"..";"UNIÃO TÁXI AÉREO LTDA";"TÁXI-AÉREO";"RUA ESTEVÃO DE MENDONÇA, Nº 81, ED. TOP LIFE APTO901";"CUIABÁ";"MT";"78.032-085";"(65) 9-9919-4742 / (65) 9-9275-0001 / (65) 9-9678-1401";"uniaotaxiaereo@hotmail.com";"PORTARIA Nº 9.925, DE 2 DE DEZEMBRO DE 2022";"12/9/2022 12:00:00 AM";"ATIVA"
"";"..";"L.M. FONTES AVIAÇÃO AGRÍCOLA E SERVIÇOS LTDA";"AEROAGRÍCOLA";"   RUA MIRAGUAI, 117A, SALA 02, CENTRO,";"ABARÉ";"MT";"78.640-000";"(16) 9.9626-3006";"lomfontes@hotmail.com  ";"PORTARIA Nº 10.195, DE 5 DE JANEIRO DE 2023";"1/12/2023 12:00:00 AM";"ATIVA"
"";"..";"ROMAER AVIAÇÃO AGRÍCOLA LTDA. (EX-LAERTE)";"AEROAGRÍCOLA";"RODOVIA MS 286 KM-5, S/Nº, ZONA RURAL, FAZENDA CERRO ALEGRE";"ARAL MOREIRA";"MS";"79.930-000";"(67) 9 9975 5698";"romaeraviacaoagricola@hotmail.com ";"PORTARIA Nº 9.799, DE 21 DE NOVEMBRO DE 2022";"11/23/2022 12:00:00 AM";"ATIVA"
"";"..";"FALCON TÁXI AÉREO LTDA";"TÁXI-AÉREO";"AV. ALM. JULIO DE SÁ BIERRENBACH 200, BLOCO 1A, SALA 303 A";"RIO DE JANEIRO";"RJ";"22.775-028";"(21) 970045261";"falcontaxiaereo@gmail.com";"Portaria nº 13727, DE 26 de janeiro de 2024";"1/30/2024 12:00:00 AM";"ATIVA"
"";"..";"AEROCIENTÍFICA S.A.E. LTDA. (EX- AEROGEOPHYSICA)";"AEROFOTOGRAFIA, AEROINSPEÇÃO, AEROLEVANTAMENTO";"ESTRADA RODRIGUES CALDAS, Nº 299, SALA 301, TAQUARA";"RIO DE JANEIRO";"RJ";"22.713-372";"(21) 99603-0720";"franklin@aerocientifica.com.br";"PORTARIA Nº 8.124, DE 25 DE MAIO DE 2022";"5/31/2022 12:00:00 AM";"ATIVA"
"";"..";"AEROMINAS AVIAÇÃO AGRÍCOLA LTDA.";"AEROAGRÍCOLA";"Rua Everardo Santana  Veve, 455 – Paracatuzinho – Aeroporto";"PARACATU";"MG";"38.600-000";"(38) 3671-6972/1407/0111";"aerominas.paracatu@hotmail.com";"PORTARIA Nº 13.060, DE 3 DE NOVEMBRO DE 2023";"11/9/2023 12:00:00 AM";"ATIVA"
"";"..";"HRP TÁXI AÉREO E SERVIÇOS AÉREOS ESPECIALIZADOS";"AEROAGRÍCOLA, AEROCINEMATOGRAFIA, AEROFOTOGRAFIA, AEROINSPEÇÃO, AEROREPORTAGEM, COMBATE A INCÊNDIOS, VOOS PANORÂMICOS";"AVENIDA PRES. KENNEDY Nº 1500 - HELIPORTO 2, BAIRRO RIBEIRÂNIA";"RIBEIRÃO PRETO";"SP";"14.096-350";".(34) 99457757 ";".";"PORTARIA Nº 10.353, DE 23 DE JANEIRO DE 2023";"1/26/2023 12:00:00 AM";"ATIVA"
"";"..";"AEROMART AVIAÇÃO AGRÍCOLA LTDA.";"AEROAGRÍCOLA";"Rua Raimundo Rossi, nº 1431, Residencial Campo Belo";"MARTINÓPOLIS";"SP";"19.500-000";"18996986478 / 18996459529";"aeromart.aviacao.agricola@gmail.com";"Portaria nº 7.792, de 13.04.2022";"4/13/2022 12:00:00 AM";"ATIVA"
"";"..";"STILO AVIAÇÃO AGRÍCOLA LTDA.";"AEROAGRÍCOLA";"ESTRADA SÍTIO DOS FERREIRAS, S/Nº, CAIXA POSTAL 44";"TAPES";"RS";"96.760-000";"(51) 99377 5170 / (51) 99984 8882";"stiloaviacao@gmail.com    ";"PORTARIA Nº 10.402, DE 30 DE JANEIRO DE 2023";"2/2/2023 12:00:00 AM";"ATIVA"
"";"..";"PLENAERO AVIAÇÃO AGRÍCOLA";"AEROAGRÍCOLA";"RUA JULlO MARTINEZ BENEVIDES, 1203-S, EDIF HABITABEM SALA01-B, JARDIM RIO PRETO ";"TANGARÁ DA SERRA";"MT";"00.000-000";"(65)33269313";"matos.rodrigo@terra.com.br";"PORTARIA Nº 7.583";"3/18/2022 12:00:00 AM";"ATIVA"
"";"..";"AMAZONAVES TÁXI AÉREO LTDA.";"AEROMÉDICO, TÁXI-AÉREO";"RUA BRASÍLIA, Nº 262, BAIRRO JURUÁ";"TEFÉ";"AM";"69.470-000";"(97) 3343-2729 / (97) 3343-3838";"amazonaves@amazonaves.com.br";"PORTARIA Nº 9.913, DE 1º DE DEZEMBRO DE 2022";"12/6/2022 12:00:00 AM";"ATIVA"
"";"..";"BASE AEROFOTOGRAMETRIA E PROJETOS LTDA";"AEROLEVANTAMENTO";"RUA MARQUÊS DE LAJES, Nº 1027";"SÃO PAULO";"SP";"04.162-001";".(11) 29489900";".diretoria@baseaerofoto.com.br ";"PORTARIA Nº 10.325, DE 20 DE JANEIRO DE 2023";"1/26/2023 12:00:00 AM";"ATIVA"
"";"..";"AEROCLUBE DO ESPÍRITO SANTO";"VOOS PANORÂMICOS";"AV. FRANCISCO LACERDA DE AGUIAR, RODOVIA DO SOL - KM 14, BARRA DO JUCU";"VILA VELHA";"ES";"29.125-033";"(27) 3260-1405 / (27) 3260-1136";"aeroclube@aeroclube-es.com.br ";"PORTARIA Nº 7.492, DE 9 DE MARÇO DE 2022";"3/9/2022 12:00:00 AM";"ATIVA"
"";"..";"AIR JET TÁXI AÉREO LTDA.";"AEROCINEMATOGRAFIA, AEROFOTOGRAFIA, AEROINSPEÇÃO, AEROMÉDICO, AEROPUBLICIDADE, AEROREPORTAGEM, TÁXI-AÉREO";"AV. OLAVO FONTOURA, 1078, SETOR C, LOTE 1A - SANTANA ";"SÃO PAULO";"SP";"02.012-021";"(11) 2221-9050 / (11) 4085-9135";"airjet@airjet.com.br";"PORTARIA Nº 7.638";"3/24/2022 12:00:00 AM";"ATIVA"
"";"..";"ESTIVA AVIAÇÃO AGRÍCOLA LTDA.";"AEROAGRÍCOLA";"RUA FÉLIX DA CUNHA, 812 - SALA 01 - CENTRO";"SÃO BORJA";"RS";"97.670-000";"(51) 99926 9096 ";"estivaaviacaoagricola@hotmail.com    ";"PORTARIA Nº 10.381, DE 25 DE JANEIRO DE 2023";"1/31/2023 12:00:00 AM";"ATIVA"
"";"..";"NOCAUTE AVIAÇÃO AGRÍCOLA LTDA";"AEROAGRÍCOLA";"RUA BENEDITO GONÇALVES STAUT, Nº 137. SALA01 - BAIRRO: JD. VÉSPER";"ANDIRÁ";"PR";"86.380-000";"(43) 99829-0271 / (43) 99928-0123";"nocauteaviacao@outlook.com   ";"PORTARIA Nº 7942, DE 04 DE MAIO DE 2022";"5/4/2022 12:00:00 AM";"ATIVA"
"";"..";"BLUE SKY TÁXI AÉREO LTDA.";"TÁXI-AÉREO";"AVENIDA AYRTON SENNA, 2541, RUA D 2, HANGAR 14, BARRA DA TIJUCA";"RIO DE JANEIRO";"RJ";"22.775-002";"(21) 99755255 / (21) 99730504";"contato@voebluesky.com";"PORTARIA Nº 10.259, DE 12 DE JANEIRO DE 2023";"1/17/2023 12:00:00 AM";"ATIVA"
"";"..";"AEROTEX AVIAÇÃO AGRÍCOLA EIRELI";"AEROAGRÍCOLA";"RODOVIA GO-174 - KM 44 - AEROPORTO MUNICIPAL - ZONA RURAL";"MONTIVIDIU";"GO";"75.915-000";"(64) 3612-3431 / 8422-0800";"CONTATO@AEROTEX.COM.BR";"PORTARIA Nº 8214, DE 01 DE JUNHO DE 2022";"6/1/2022 12:00:00 AM";"ATIVA"
"";"..";"AERO AGRÍCOLA ZACCA LTDA.";"AEROAGRÍCOLA";"RUA JOSÉ COLARES FILHO, Nº 589, CENTRO";"MOSTARDAS";"RS";"96.270-000";"(51) 99985 8403";"aviadoraz@hotmail.com";"PORTARIA Nº 10.393, DE 27 DE JANEIRO DE 2023";"2/2/2023 12:00:00 AM";"ATIVA"
"";"..";"ASAS D`OESTE AVIAÇÃO AGRÍCOLA LTDA";"AEROAGRÍCOLA";"ROD. MUNICIPAL BR 31 - 1 KM A DIREITA";"RIO BRILHANTE";"MS";"79.130-000";"67999337508  2137573633";"fontesrogerio@ig.com.br";"PORTARIA Nº 9.381, DE 30 DE SETEMBRO DE 2022";"10/5/2022 12:00:00 AM";"ATIVA"
"";"..";"MINEIROS AVIAÇÃO AGRÍCOLA LTDA.";"AEROAGRÍCOLA";"R DEZESSEIS S/N QUADRA 101 LOTE 01 GLEBA 102-B";"MINEIROS";"GO";"75.833-118";"(64) 3661-6652";"valmir.lopes@uol.com.br";"PORTARIA Nº 9.373, DE 30 DE SETEMBRO DE 2022";"10/5/2022 12:00:00 AM";"ATIVA"
"";"..";"MÉTRICA GEOENGENHARIA E AEROLEVANTAMENTOS LTDA.";"AEROLEVANTAMENTO";"RUA PATRÍCIO FARIAS, 55, SALA 110 E 111, ITACORUBI";"FLORIANÓPOLIS";"SC";"88.034-132";"(48) 998022806";"fabrício@metricageoengenharia.com.br";"PORTARIA No 11.309, DE 15 DE MAIO DE 2023";"5/18/2023 12:00:00 AM";"ATIVA"
"";"..";"NOAR AVIAÇÃO AGRÍCOLA - EIRELI - ME";"AEROAGRÍCOLA";"RUA GUAJAJARAS, 712 - MARAJOARA";"XINGUARA";"PA";"68.556-565";"(94)91126669/ (45)91280123";"cristianocotoman@hotmail.com";"PORTARIA Nº 13.038, DE 31 DE OUTUBRO DE 2023";"11/6/2023 12:00:00 AM";"ATIVA"
"";"..";"SÃO CARLOS AEROAGRÍCOLA LTDA";"AEROAGRÍCOLA";" ZIRCÃO QUADRA 40, LOTE 13, APT 101 BAIRRO SETOR SUL II";"CRISTALINA";"GO";"73.850-000";"(61) 99819-2977";"saocarlosaeroagricola@gmail.com";"PORTARIA Nº 10.288, DE 17 DE JANEIRO DE 2023";"1/24/2023 12:00:00 AM";"ATIVA"
"";"..";"ÁGUIA DOURADA AERO AGRÍCOLA LTDA";"AEROAGRÍCOLA";"RUA NÉLIDA SUEDI SCHUCH, N 425,";"VILHENA";"RO";"76.980-770";"(69) 992500440";"aguiadouradaeroagricola@hotmail.com ";"PORTARIA Nº 10.253, DE 12 DE JANEIRO DE 2023";"1/17/2023 12:00:00 AM";"ATIVA"
"";"..";"SRR AVIAÇÃO AGRÍCOLA E TRANSPORTES LTDA";"AEROAGRÍCOLA";" ESTRADA GLEBA 02, CHÁCARA CONQUISTA, CAIXA POSTAL 081, S/NO, ZONA RURAL";"ABAETETUBA";"PA";"68.554-899";"(94) 9152-1223/(94) 9266-1020";"tarpagricola@gmail.com";"PORTARIA Nº 8.728, DE 2 DE AGOSTO DE 2022";"8/8/2022 12:00:00 AM";"ATIVA"
"";"..";"AVIAÇÃO AGRÍCOLA GAIVOTA LTDA.";"AEROAGRÍCOLA";"AVENIDA BRIGADEIRO EDUARDO GOMES, N° 676, SALA 01,  BAIRRO BNH";"VILHENA";"RO";"76.980-000";"(11)32553996/ (11)991918838";"mabaraban@uol.com.br";"PORTARIA Nº 7363";"2/23/2022 12:00:00 AM";"ATIVA"
"";"";"LASA PROSPECÇÕES S.A. (FANTASIA: XCALIBUR MPH BRASIL)";"AEROLEVANTAMENTO";"AVENIDA PRESIDENTE WILSON, Nº 231, SALÃO 1502, CENTRO";"RIO DE JANEIRO";"RJ";"20.030-021";"(21) 35017718 / (21)35017700";"claudia.lima@cgg.com";"Portaria nº 15868, de 25/11/2024";"11/28/2024 12:00:00 AM";"ATIVA"
"";"..";"GREENLAND AVIAÇÃO E SERVIÇOS AGRÍCOLAS LTDA ( EX- TIETÊ AVIAÇÃO AGRÍCOLA EIRELI)";"AEROAGRÍCOLA";"AVENIDA IPIRANGA, Nº 1208 - SALA 41, CENTRO";"SÃO PAULO";"SP";"01.040-903";"(51) 99148 3366 / (51) 3574 5944";"erongso@gmail.com; contato@ejraero.com.br";"PORTARIA Nº 7821";"4/18/2022 12:00:00 AM";"ATIVA"
"";"..";"AERO AGRICOLA PRETEL LTDA-ME (EX-SEB-AIR AVIAÇÃO AGRÍCOLA LTDA.)";"AEROAGRÍCOLA";"RUA  DUQUE DE CAXIAS  Nº 349 CENTRO";"TAQUARITUBA";"SP";"18.740-000";"(44)30267993 / (14) 997857720";"PRETELHD@HOTMAIL.COM";"PORTARIA Nº 8339, DE 15 DE JUNHO DE 2022";"6/15/2022 12:00:00 AM";"ATIVA"
